make,model,year,mileage_km,engine_cc,auction_grade,winning_bid_jpy,auction_date
Nissan,GT-R R35,2020,53482,3800,3.7,2284522,2024-04-02
Nissan,Patrol,2016,99743,4500,2.5,500000,2024-10-22
Honda,NSX,2023,6106,3000,4.5,2306921,2025-07-28
Porsche,Cayenne,2020,45526,2000,3.8,2984470,2025-04-01
Porsche,Cayenne,2020,37733,2500,4.1,2250769,2024-01-08
Honda,Accord,2022,21399,1500,5.4,2264107,2024-08-08
Nissan,X-Trail,2019,63349,1500,2.7,553992,2023-12-25
Honda,CR-V,2015,89928,3000,3.0,500000,2024-04-24
Honda,Accord,2021,47112,1500,4.4,1720800,2024-01-27
Honda,CR-V,2022,14198,3000,4.1,1021797,2023-11-25
Porsche,Macan,2020,53772,2000,3.8,3447525,2025-08-12
Mazda,CX-9,2017,64521,2500,3.7,500000,2025-01-16
Honda,CR-V,2015,118822,2500,3.7,500000,2025-09-10
Lexus,LX 570,2020,57399,3500,3.8,2069330,2024-07-15
Subaru,WRX STI,2019,66911,2000,3.8,1099644,2024-07-24
Lexus,LX 570,2017,93891,4500,3.7,1947791,2025-01-13
Subaru,Outback,2021,20612,2000,4.0,1296304,2025-03-29
Mazda,RX-7,2019,69257,2000,3.1,1129697,2025-08-19
Mitsubishi,Lancer Evolution,2018,56781,2000,3.9,956528,2025-09-02
Honda,CR-V,2022,24117,2500,5.3,1704838,2025-08-02
Subaru,WRX STI,2023,6326,2500,4.3,2012341,2024-04-26
Mazda,CX-5,2023,8156,2500,4.6,1077358,2025-08-05
Honda,NSX,2017,100434,3500,3.3,803477,2025-02-21
Lexus,LX 600,2020,56466,5700,4.0,2890581,2024-09-05
Mazda,CX-5,2019,61361,1500,2.6,500000,2024-12-08
Toyota,Land Cruiser,2024,1000,3500,5.5,3676389,2024-01-06
Porsche,Cayenne,2022,21609,2500,4.6,5827846,2024-04-27
Mitsubishi,Outlander,2022,20617,2000,4.5,886720,2025-03-02
Subaru,WRX STI,2015,109852,2000,3.3,500000,2024-01-03
Toyota,Land Cruiser 300,2022,24540,3500,5.4,4216223,2024-03-22
Mitsubishi,Pajero,2019,76137,1500,2.9,694182,2024-07-18
Nissan,GT-R R35,2023,9126,3500,4.1,6981856,2024-11-05
Mazda,RX-7,2024,1000,2500,5.1,3811904,2024-02-29
Lexus,GX 460,2024,1000,2500,4.2,7876880,2025-02-02
Mitsubishi,Outlander,2022,19055,1500,4.0,753177,2024-12-15
Porsche,Macan,2021,34933,2500,4.2,3280933,2023-12-14
Honda,CR-V,2019,66229,2500,3.5,775570,2025-03-31
Honda,NSX,2016,76291,3500,4.0,633204,2025-09-15
Porsche,Cayenne,2024,1000,2500,4.9,6805780,2025-06-23
Toyota,Prado,2018,55035,2500,3.5,500000,2024-11-27
Nissan,Patrol,2024,1000,5700,4.0,2270429,2024-05-21
Nissan,Patrol,2020,62511,5700,2.9,588745,2024-04-03
Nissan,GT-R R35,2023,9754,3500,5.4,8004991,2025-05-07
Mitsubishi,Outlander,2021,41815,1500,3.6,995150,2025-06-17
Lexus,LX 600,2023,14903,4500,4.5,4663920,2025-04-16
Mazda,RX-7,2023,18201,2500,4.8,2365746,2025-04-27
Nissan,GT-R R35,2023,15871,3500,5.3,5738531,2025-04-18
Mazda,CX-5,2020,43551,1500,4.0,1013781,2024-08-28
Porsche,Macan,2019,36440,2000,4.3,3005377,2023-12-04
Mitsubishi,Outlander,2017,90887,2000,3.4,500000,2024-08-10
Lexus,LX 600,2016,95649,3500,3.6,2187949,2024-02-22
Mitsubishi,Pajero,2021,38407,2000,3.9,543343,2025-04-25
Toyota,Land Cruiser,2015,126626,5700,3.1,500000,2024-03-21
Mazda,CX-5,2017,85058,2000,3.5,500000,2024-03-14
Porsche,Cayenne,2024,1117,2500,4.6,5039018,2024-04-30
Mitsubishi,Lancer Evolution,2020,28563,2500,3.5,500000,2025-08-14
Honda,Accord,2023,7297,2500,4.7,1575216,2024-05-23
Subaru,Forester,2017,76685,2000,3.5,500000,2024-06-23
Porsche,Cayenne,2020,49652,2500,4.2,2631452,2024-06-20
Lexus,GX 460,2016,66342,2500,3.9,1884502,2024-07-24
Subaru,Outback,2020,45287,2500,4.4,919967,2025-05-29
Lexus,LX 570,2024,1000,5700,4.2,3446660,2024-05-25
Subaru,WRX STI,2016,66176,2500,3.8,500000,2024-10-23
Porsche,Cayenne,2023,10794,2000,4.9,8217926,2023-10-25
Mitsubishi,Lancer Evolution,2022,16722,2500,5.1,2150950,2025-05-22
Lexus,LX 570,2024,2764,3500,4.5,8590325,2025-05-20
Lexus,LX 570,2023,15801,3500,4.2,7103701,2025-04-12
Honda,CR-V,2021,34676,2500,3.9,500000,2025-09-18
Porsche,911 Carrera,2024,4500,3000,5.4,7981635,2024-01-04
Lexus,LX 570,2022,18391,3500,5.0,6954669,2024-07-18
Porsche,Macan,2023,8582,2500,4.1,5434121,2025-08-09
Mitsubishi,Pajero,2020,37996,2500,3.6,1142846,2023-10-19
Lexus,LX 600,2022,19187,3500,4.1,5974731,2024-08-09
Honda,NSX,2022,22054,3000,4.6,1813244,2024-06-29
Mitsubishi,Pajero,2023,17435,3000,4.6,810830,2024-05-10
Porsche,Macan,2023,15033,2000,4.2,5254191,2024-12-18
Lexus,LX 600,2015,71735,3500,2.7,1065311,2025-07-08
Nissan,X-Trail,2023,13483,2000,4.4,2150371,2024-03-22
Toyota,Land Cruiser 300,2018,53209,5700,2.6,2325670,2025-02-06
Toyota,Land Cruiser 300,2021,26088,5700,5.5,5734324,2024-09-09
Mitsubishi,Outlander,2022,23639,2500,4.9,2209372,2023-11-20
Lexus,LX 570,2015,135778,3500,3.2,1101779,2025-07-08
Lexus,LX 570,2019,54762,3500,4.1,2016965,2025-06-11
Toyota,Land Cruiser,2024,1000,5700,4.5,4806234,2024-05-27
